horizon,h,input_multiplier,MAE,MAE_p95
1d,8,6,0.0001277908741030842,inf
1d,8,6,0.0001277908741030842,inf
1d,8,6,0.0001277908741030842,inf
1d,8,6,0.0001277908741030842,inf
1d,8,6,0.0001277908741030842,inf
1d,8,6,0.0001277908741030842,inf
1d,8,6,0.0001277908741030842,inf
1d,8,6,0.0001277908741030842,inf
1d,8,6,0.0001277908741030842,inf
1d,8,6,0.0001277908741030842,inf
1d,8,6,0.0001277908741030842,inf
1d,8,6,0.0001277908741030842,inf
7d,56,6,8.238638838520274e-05,6.990105612203479e-05
7d,56,6,8.287744276458398e-05,6.406719330698252e-05
7d,56,6,8.400996739510447e-05,6.090450187912211e-05
14d,112,4,7.469402771675959e-05,7.053321314742789e-05
14d,112,4,7.581333193229511e-05,6.604490044992417e-05
14d,112,4,7.243142317747697e-05,7.585575804114342e-05
14d,112,4,7.285707397386432e-05,7.237653335323557e-05
14d,112,4,7.390964310616255e-05,7.139384251786396e-05
30d,240,4,6.633727753069252e-05,4.816203363589011e-05
30d,240,4,6.599108019145206e-05,5.7652014220366254e-05
